id,name,author,genre,seria,rating,count_page,language,content,img_url
10,Французская волчица,Дрюон Морис,Зарубежная классика Историческая литература Классическая литература Современная зарубежная литература,Проклятые короли #5,9.69,20,Русский,"Автор цикла исторических романов «Проклятые короли» – французский писатель, публицист и общественный деятель Морис Дрюон (р. 1918) никогда не позволял себе вольного обращения с фактами. Его романы отличает интригующий и захватывающий сюжет, и вместе с тем они максимально приближены к исторической правде. Согласно легенде истоки всех бед, обрушившихся на Францию, таятся в проклятии, которому Великий магистр ордена Тамплиеров подверг короля Филиппа IV Красивого, осудившего его на смерть. Охватывая период с первого десятилетия XIV века до начала Столетней войны между Францией и Англией, Дрюон описывает, как сбывается страшное проклятие на протяжении этих лет.",https://www.litmir.me/data/Book/0/7000/7497/BC4_1490513961.jpg
11,Белый Клык. Любовь к жизни. Путешествие на «Ослепительном»,Лондон Джек,Зарубежная классика,Джек Лондон. Собрание сочинений #5,9.69,14,Русский,,https://www.litmir.me/data/Book/0/165000/165655/BC4_1595673730.jpg
12,Унесенные ветром. Том 2,Митчелл Маргарет,Зарубежные любовные романы Исторические любовные романы Классическая литература,Унесенные ветром,9.69,37,Русский," Согласно легенде создание романа «Унесенные ветром» началось с того, как Маргарет Митчелл написала главную фразу последней главы: «Ни одного из любимых ею мужчин Скарлетт так и не смогла понять и вот – потеряла обоих». Последующая работа над произведением продолжалась около десяти лет и потребовала от писательницы огромной самоотдачи и напряженного труда. Стремясь проникнуть в самый дух эпохи, Митчелл кропотливо изучала историю родной Атланты, использовала газеты и журналы середины XIX века. На страницах ее рукописи оживали рассказы очевидцев Гражданской войны и семейные предания. Некоторые сцены Митчелл переписывала по четыре-пять раз, а что касается первой главы, писательницу удовлетворил лишь 60-й вариант!  Роман, вышедший весной 1936 года, имел беспрецедентный успех и сразу побил все рекорды по популярности и тиражам во всей истории американской литературы. А одноименная экранизация с Вивьен Ли и Кларком Гейблом в главных ролях завоевала 10 премий «Оскар» и стала одной из самых знаменитых лент в истории мирового кинематографа.",https://www.litmir.me/data/Book/0/0/340/BC4_1598429951.jpg
13,Приключения Шерлока Холмса,Дойл Артур Конан,Классические детективы,Иллюстрированные сборники #3,9.68,16,Русский,"• Скандал в Богемии • Союз рыжих • Установление личности • Тайна Боскомской долины • Пять зернышек апельсина • Человек с рассеченной губой • Голубой карбункул • Пестрая лента • Палец инженера • Знатный холостяк • Берилловая диадема • «Медные буки» First edition illustrations by Sidney Paget, 1892",https://www.litmir.me/data/Book/0/8000/8303/BC4_1598175492.jpg
14,Граф Монте-Кристо,Дюма Александр,Исторические приключения,,9.68,308,Русский,"Сюжет «Графа Монте-Кристо» был почерпнут Александром Дюма из архивов парижской полиции. Подлинная жизнь Франсуа Пико под пером блестящего мастера историко-приключенческого жанра превратилась в захватывающую историю об Эдмоне Дантесе, узнике замка Иф. Совершив дерзкий побег, он возвращается в родной город, чтобы свершить правосудие – отомстить тем, кто разрушил его жизнь. Толстый роман, не отпускающий до последней страницы, «Граф Монте-Кристо» – классика, которую действительно перечитывают.",https://www.litmir.me/data/Book/0/0/120/BC4_1490511677.jpg
15,Вечный зов. Том 1,Иванов Анатолий Степанович,Классическая литература,,9.68,40,Русский," Широки и привольны сибирские просторы, под стать им души людей, да и характеры их крепки и безудержны. Уж если они любят, то страстно и глубоко, если ненавидят, то до последнего вздоха. А жизнь постоянно требует от героев «Вечного зова» выбора между любовью и ненавистью…",https://www.litmir.me/data/Book/0/12000/12697/BC4_1598047032.jpg
16,Гарри Поттер и Орден Феникса,Роулинг Джоан Кэтлин,Зарубежное фэнтези Фэнтези,Гарри Поттер #5,9.68,18,Русский,"Гарри Поттер с нетерпением ждёт окончания каникул и начала пятого учебного года в Хогвартсе. Юный волшебник как никогда страдает от одиночества, а насмешки и придирки Дурсли стали совсем невыносимыми. К тому же он уверен, что Волан-де-Морт восстановил силы и скоро начнёт действовать. Вас снова ждут опасные и захватывающие приключения, жестокая борьба, верные друзья и волшебный мир Гарри Поттера.",https://www.litmir.me/data/Book/0/143000/143821/BC4_1596009251.jpg
17,Комарра,Буджолд Лоис Макмастер,Зарубежная фантастика Фантастика,Сага о Форкосиганах #11 Золотая библиотека фантастики (Изд. АСТ) #8375,9.68,21,Русский,,https://www.litmir.me/data/Book/0/48000/48041/BC4_1597138391.jpg
18,А зори здесь тихие… (сборник),Васильев Борис Львович,Книги о войне Классическая литература,,9.68,26,Русский," В книгу вошли наиболее известные произведения Бориса Васильева о Великой Отечественной войне.  «А зори здесь тихие…» – шедевр русской «военной прозы», посвященный великому, однако не попавшему в сводки военных событий подвигу пяти юных девушек-зенитчиц, под руководством старшины вступивших в неравный бой с отрядом немецких диверсантов.  Действие повести «Завтра была война» происходит накануне Великой Отечественной войны. Это история о школьниках, их взрослении, история о выпускниках, которым совсем скоро предстоит взять в руки оружие и отправиться на фронт – защищать Родину.  Повесть «В списках не значился» – о последнем защитнике Брестской крепости, лейтенанте Плужникове. История, повествующая о преданности, любви и смерти – и, конечно, о настоящем подвиге русского солдата.",https://www.litmir.me/data/Book/0/0/567/BC4_1591602633.jpg
19,Телеграмма,Паустовский Константин Георгиевич,Классическая проза,,9.68,3,Русский,,https://www.litmir.me/data/Book/0/5000/5779/BC4_1490513386.jpg
