id,name,author,genre,seria,rating,count_page,language,content,img_url
218,Бесплодные земли,Кинг Стивен,Фэнтези Зарубежное фэнтези,Темная Башня #3,9.54,33,Русский,,https://www.litmir.me/data/Book/0/206000/206643/BC4_1594908971.jpg
219,Плененная душа (СИ),Степанова Анна,Фэнтези,Темный мастер #2,9.54,56,Русский,,https://www.litmir.me/data/Book/0/256000/256591/BC4_1490775410.jpg
220,Серые Пределы (СИ),Лисина Александра,Фэнтези,Время перемен #2,9.54,102,Русский,,https://www.litmir.me/data/Book/0/154000/154528/BC4_1490595110.jpg
221,Лекарь. Ученик Авиценны,Гордон Ной,Историческая литература Современная зарубежная литература,Коул #1,9.54,44,Русский," ХI век. Сирота Роберт наделен даром целительства. Странствующий лекарь открывает ему секреты ремесла. В путешествиях он обрел славу и встретил любовь. Однако бродяга-знахарь не пара для богатой девушки.   Прошли годы. Роберт стал любимым учеником Авиценны, ему обязаны жизнью правители государств, его боготворят, ему завидуют. И однажды он вновь встречает ту, с которой был вынужден расстаться...",https://www.litmir.me/data/Book/0/143000/143454/BC4_1596017652.jpg
222,Гнев ангелов,Шелдон Сидни,Прочие Детективы,,9.54,21,Русский,"Она – модный преуспевающий адвокат на пике карьеры.  Он – «крестный отец» нью-йоркской мафии, расширяющий свою могущественную империю.  Они стоят друг у друга на пути – и не потерпят поражения...  Так начинается захватывающая история борьбы, в которой не будет победителей. Но будут победы и поражения, громкие преступления и шокирующие скандалы, большая политика и большие деньги... и, конечно же, любовь! ",https://www.litmir.me/data/Book/0/39000/39228/BC4_1490532682.jpg
223,Судьба клана,Михайлов Дем,Фэнтези,Мир Вальдиры #2,9.54,15,Русский," Захватывающие приключения Роса в волшебном мире Вальдиры продолжаются! Тернист и опасен путь к вершине, но настоящий герой никогда не пасует перед трудностями и добивается цели. Оказавшись втянутым в разборки кланов, Рос старается любым способом выполнить миссию, несмотря на нескончаемые препятствия на своем пути. Предательство и настоящая дружба, любовь и ненависть — все перемешалось в безумном калейдоскопе событий…",https://www.litmir.me/data/Book/0/186000/186674/BC4_1595188210.jpg
224,Дипломатический иммунитет (Дипломатическая неприкосновенность),Буджолд Лоис Макмастер,Научная фантастика,Сага о Форкосиганах #14,9.54,19,Русский,,https://www.litmir.me/data/Book/0/48000/48055/BC4_1490534371.jpg
225,Трудный возраст (СИ),Ролдугина Софья Валерьевна,Фэнтези,Ар-Нейт #6,9.54,16,Русский,,https://www.litmir.me
226,Третья сила (СИ),Лисина Александра,Фэнтези,Без права на выбор #8,9.54,101,Русский,,https://www.litmir.me/data/Book/0/176000/176545/BC4_1490611458.jpg
227,Ангелы и демоны,Браун Дэн,"Зарубежные детективы Боевики, остросюжетная литература",Роберт Лэнгдон #1 Интеллектуальный детектив (ссылка),9.54,33,Русский,,https://www.litmir.me/data/Book/0/47000/47078/BC4_1597155921.jpg
228,Ледяной укус,Мид Райчел,Зарубежное фэнтези Фэнтези,Вселенная Академии вампиров,9.54,14,Русский," Академия вампиров, где представители этой загадочной расы обучаются искусству высокой магии, распущена на каникулы. Юную принцессу Лиссу и ее подругу и верного стража Розу ждет горнолыжная база. Солнце, снег, высота, скорость и бесконечный драйв! Главная задача девчонок – оторваться по полной программе, оставив в прошлом кровавые бойни, которые устраивают стригои, извечные враги вампирского рода. Мало того, стригои, похоже, обзавелись помощниками среди людей. Единственное, чего они пока не знают, – опасность следует за ними по пятам, и сейчас главная задача неумерших – не умереть.  Впервые на русском! Новая книга культового сериала об Академии вампиров.",https://www.litmir.me/data/Book/0/116000/116157/BC4_1553522949.jpg
229,Крысявки. Крысиное житие в байках и картинках,Громыко Ольга Николаевна,Домашние животные Легкая проза,,9.53,2,Русский,,https://www.litmir.me/data/Book/0/164000/164876/BC4_1584488470.jpg
230,Умри красиво,Тармашев Сергей Сергеевич,"Боевики, остросюжетная литература Фантастика",Ареал #6,9.53,20,Русский,,https://www.litmir.me/data/Book/0/182000/182076/BC4_1490618742.jpg
231,Цетаганда,Буджолд Лоис Макмастер,Зарубежная фантастика Фантастика,Сага о Форкосиганах #5,9.53,15,Русский,,https://www.litmir.me/data/Book/0/48000/48043/BC4_1597138150.jpg
232,Ликвидатор нулевого уровня,Баженов Виктор Олегович Шелонин Олег Александрович,Фантастика,Ликвидатор #1,9.53,69,Русский,,https://www.litmir.me
233,Ветер и искры (сборник),Пехов Алексей Юрьевич,Фэнтези,Ветер и искры В одном томе #72,9.53,84,Русский," Мир Хары утратил самое ценное – знание. Все, что тысячелетие назад было обыденным и привычным, теперь кажется сказкой. За жалкие крупицы великого искусства прошлого маги ведут кровопролитные войны.  Самая страшная и беспощадная война вот уже пять веков длится между теми, кто правит миром, – Ходящими и Проклятыми. Тьма и свет, некромантия и целительство сплелись в смертельный тугой клубок, уничтожающий всех, кто посмеет к нему прикоснуться. Нэсс и Лаэн бросают вызов носителям Дара, чтобы спасти свою жизнь.  Что станет ставкой в их игре – совесть, любовь, деньги, знания, бессмертие?..",https://www.litmir.me/data/Book/0/172000/172011/BC4_1595549170.jpg
234,Возвращение (СИ),Лисина Александра,Фэнтези,Время смирения #3,9.53,90,Русский,,https://www.litmir.me/data/Book/0/177000/177681/BC4_1490612513.jpg
235,Наемник Его Величества,Зыков Виталий Валерьевич,Фэнтези Фантастика,Дорога домой #2,9.53,38,Русский," Ветры перемен продолжают набирать силу над многострадальным Торном. Легендарные артефакты всплывают из небытия, правители становятся игрушками в руках тайных обществ, а сильные мира сего в очередной раз оказываются на пороге новой Великой войны… Последней войны в этом мире! И вновь звенят клинки, сотрясают земли Торна битвы чародеев, а в ночи беззвучно скользят тени наемных убийц. Борьба за жизнь, свободу и счастье продолжается!",https://www.litmir.me/data/Book/0/60000/60516/BC4_1597020071.jpg
236,Азазель,"Акунин Борис "" Чхартишвили Григорий Шалвович""",Исторические детективы,Приключения Эраста Фандорина #1,9.53,12,Русский,"«Азазель» – первый роман из серии о необыкновенном сыщике Эрасте Фандорине. Ему всего двадцать лет, но он удачлив, бесстрашен, благороден и привлекателен. Юный Эраст Петрович служит в полицейском управлении, по долгу службы и по велению сердца расследует крайне запутанное дело.",https://www.litmir.me/data/Book/0/1000/1027/BC4_1598412130.jpg
237,Хранитель смерти,Герритсен Тесс,"Зарубежные детективы Боевики, остросюжетная литература",Джейн Риццоли и Маура Айлс #7,9.53,17,Русский,"Роман «Хранитель смерти» — седьмой в серии произведений американской писательницы Тесс Герритсен о полицейских и врачах, вступивших в борьбу с убийцами. В подвале одного из частных музеев Бостона обнаружилась прекрасно сохранившаяся египетская мумия. Эта находка обещала стать большим событием в мире археологии, однако в ноге древнего экспоната оказалась вполне современная пуля… В запасниках музея обнаружатся еще несколько пугающих артефактов, и тогда станет ясно: на свободе гуляет убийца-извращенец, применяющий свои археологические знания для консервации жертв. Напряженный стиль повествования, мастерское владение интригой, блестящее знание медицины и психологии преступников, вера в Добро и неизбежное наказание Зла — все это делает Тесс Герритсен мастером современного медицинского триллера.",https://www.litmir.me/data/Book/0/130000/130430/BC4_1596190693.jpg
238,Три дороги во Тьму. Изменение,Эльтеррус Иар Садов Сергей Александрович,Фэнтези Фантастика,Три дороги во Тьму #2,9.53,17,Русский,"В течение многих лет агенты Конторы и Инквизиции лихорадочно искали трех юных магов Тьмы, еще не знающих, кто они такие. Дети росли, жили, постигали мир, с кем-то дружили, а с кем-то враждовали. Но даже не подозревали, что их судьба уже кем-то определена. Как найти их среди миллионов других? А затем приходит время инициации Трех, время постижения Тьмы. Весь мир после этого может заполыхать - древний маг давно погибшего народа жаждет мести, жаждет отплатить людям за сделанное их предками. Но ведь это сделали предки, а не они сами... Так кому он же собрался мстить? Невиновным? Каждому из Трех предстоит сделать свой нелегкий выбор: на чьей он стороне. И стоит ли вообще становиться на чью-либо сторону. Может лучше отыскать иное решение? А в мир, между тем, явились служители совсем иной Силы. Страшной и непредсказуемой. Когда-то очень давно ее называли Справедливостью...",https://www.litmir.me/data/Book/0/102000/102873/BC4_1596533432.jpg
239,Тысяча сияющих солнц,Хоссейни Халед,Современная зарубежная литература,The Best of Phantom,9.53,16,Русский,"Любовь — великое чувство. Глубоко укрытая, запрещенная, тайная, она все равно дождется своего часа. Об этом новый роман Халеда Хоссейни, в 2007 году ставший главным мировым бестселлером. В центре романа — две женщины, которые оказались жертвами потрясений, разрушивших идиллический Афганистан. Мариам — незаконная дочь богатого бизнесмена, с детства познавшая, что такое несчастье, с ранних лет ощутившая собственную обреченность. Лейла, напротив, — любимая дочка в дружной семье, мечтающая об интересной и прекрасной жизни. Между ними нет ничего общего, они живут в разных мирах, которым не суждено было бы пересечься, если бы не огненный шквал войны. Отныне Лейла и Мариам связаны самыми тесными узами, и они сами не знают, кто они — враги, подруги или сестры. Но в одиночку им не выжить, не выстоять перед средневековым деспотизмом и жестокостью, затопившими улицы и дома некогда цветущего города. Вдвоем они пройдут через страдания, вдвоем будут ловить нечаянные крупицы радости, вдвоем станут мечтать о счастье, к которому однажды попытаются прорваться. «Тысяча сияющих солнц» – мощная, драматичная и лиричная история, которая заставляет сердца сжиматься от боли и радости. Это благородная и великодушная книга.",https://www.litmir.me/data/Book/0/99000/99560/BC4_1596575891.jpg
240,"Убийство в ""Восточном экспрессе""",Кристи Агата,Зарубежные детективы Детективы,Эркюль Пуаро #10,9.53,11,Русский," На этот раз Эркюлю Пуаро придется расследовать убийства в поездах. В «Восточном экспрессе» ему придется распутывать клубок событий, закрученный вокруг жестокого убийства, – и лишь только блестящие таланты великого сыщика способны помочь раскрыть преступление.   ",https://www.litmir.me/data/Book/0/63000/63441/BC4_1490540834.jpg
241,Приключения Гекльберри Финна,Твен Марк,Детские приключения Зарубежные детские книги Классическая литература,Приключения Тома Сойера #2,9.53,7,Русский," Герой этой повести умен, добр, умеет по-настоящему дружить и знает цену людям. Свободолюбие, самостоятельность и сообразительность сделали Гека Финна одним из самых любимых героев подростков разных стран.",https://www.litmir.me/data/Book/0/99000/99734/BC4_1596573310.jpg
242,Ярость Богов,Михайлов Дем,Фэнтези,Мир Вальдиры #3,9.53,15,Русский," Прекрасный и необъятный сказочный мир наполнен приключениями и героическими битвами. Отважные герои бросаются на штурм неприступных цитаделей, опускаются к далекому океанскому дну, карабкаются на заснеженные горные пики и, не раздумывая прыгают в раскаленное жерло вулкана. Не ради себя — ради процветания и возвышения родного клана. Плетутся интриги, накаляются страсти, разваливаются союзы. Политика... политика никогда не канет в забвение и всегда будет править миром — пусть мир Вальдиры и сказочный, но страсти в нем кипят вполне реальные. И среди круговерти событий, одинокий и неприметный герой Рос продолжает путь к своей цели.   ",https://www.litmir.me/data/Book/0/186000/186666/BC4_1595188330.jpg
243,Метка Афины,Риордан Рик,Фэнтези Зарубежное фэнтези,Герои Олимпа #3,9.53,27,Русский,,https://www.litmir.me/data/Book/0/180000/180723/BC4_1595406431.jpg
244,Анжелика и ее любовь,Голон Анн Голон Серж,Зарубежные любовные романы Исторические любовные романы Классика жанра,Анжелика #6,9.53,26,Русский,В поисках своего мужа Анжелика предпринимает полное опасностей путешествие к берегам Америки.,https://www.litmir.me/data/Book/0/10000/10318/BC4_1490515032.jpg
245,Ходячий замок (илл. Гозман),Джонс Диана Уинн,Детские приключения Зарубежные детские книги Сказки,"Ходячий замок #1 Ходячий замок моё любимое аниме, теперь ещё и книга будит любимой.<br />",9.53,14,Русский,,https://www.litmir.me/data/Book/0/258000/258438/BC4_1593911891.jpg
246,Бернарда,Мелан Вероника,Любовные романы Фантастика,Город #2,9.53,23,Русский,,https://www.litmir.me/data/Book/0/185000/185666/BC4_1595204650.jpg
247,Распутья. Наследие Повелителя,Панкеева Оксана Петровна,Фэнтези Фантастика,Хроники странного королевства #12,9.53,22,Русский,,https://www.litmir.me/data/Book/0/144000/144933/BC4_1595989811.jpg
248,Время всегда хорошее,Пастернак Евгения Борисовна Жвалевский Андрей Валентинович,Детская фантастика Книги для подростков Фантастика,Время – юность!,9.53,4,Русский," Что будет, если девчонка из 2018 года вдруг окажется в 1980 году? А мальчик из 1980 года перенесется на ее место? Где лучше? И что такое «лучше»? Где интереснее играть: на компьютере или во дворе? Что важнее: свобода и раскованность в чате или умение разговаривать, глядя в глаза друг другу? И самое главное – правда ли, что «время тогда было другое»? А может быть, время всегда хорошее и, вообще, всё зависит только от тебя…",https://www.litmir.me/data/Book/0/111000/111210/BC4_1596403469.jpg
249,Границы бесконечности,Буджолд Лоис Макмастер,Зарубежная фантастика Фантастика,Сага о Форкосиганах #8 Золотая библиотека фантастики (Изд. АСТ) #8375,9.53,15,Русский,,https://www.litmir.me/data/Book/0/48000/48057/BC4_1597137431.jpg
250,Иллюзион,Гаглоев Евгений Фронтикович,Детская фантастика Фэнтези,Зерцалия #1,9.53,13,Русский,,https://www.litmir.me/data/Book/0/192000/192908/BC4_1595100670.jpg
251,Скорая помощь. Обычные ужасы и необычная жизнь доктора Данилова,Шляхов Андрей Левонович,Современная проза,Доктор Данилов #1,9.53,10,Русский,"<i>Владимир Данилов семь лет работает врачом «Скорой помощи». Он циник и негодяй, он груб с пациентами и любит черный юмор. Отличный врач. Поверьте, если вы не знаете, что такое будни обычной подстанции, вы ничего не знаете об этой жизни. Ложные вызовы, сумасшедшие пациенты, неожиданные роды, автомобильные аварии, бытовуха, случайные трупы, бесчисленное количество спасенных жизней… Это действительно страшно и это действительно весело. Это жизнь. Роман написал реальный врач «Скорой помощи», вот только на той подстанции он больше не работает. Правду читать безумно интересно, если только книга не о тебе… Хотите содрогаться от ужаса, брезгливо морщиться, сдерживать слезы, негодовать и безудержно хохотать? Тогда Вам на «Скорую помощь»!</i>",https://www.litmir.me/data/Book/0/140000/140332/BC4_1490586958.jpg
252,Игра престолов,Мартин Джордж Р.Р.,Фэнтези Зарубежное фэнтези,Песнь Льда и Огня #1,9.53,49,Русский,,https://www.litmir.me/data/Book/0/172000/172355/BC4_1595545033.jpg
253,Первый удар (СИ),Лисина Александра,Фэнтези,Без права на выбор #4,9.53,17,Русский,,https://www.litmir.me/data/Book/0/154000/154501/BC4_1595832311.jpg
254,Гость из пекла,Волынская Илона Кащеев Кирилл,Фэнтези Детская фантастика,Ирка Хортица – суперведьма #10,9.53,23,Русский,,https://www.litmir.me/data/Book/0/155000/155066/BC4_1490595298.jpg
255,Караоке для дамы с собачкой,Полякова Татьяна Викторовна,Детективы,Ольга Рязанцева #5,9.53,15,Русский,"Хорошенькое дельце – к вам приходит человек и просит отомстить за него после того, как его убьют. К Ольге Рязанцевой именно с такой просьбой обратилась молодая женщина. Можно было бы отмахнуться, но женщину и вправду застрелили, а ее кровью написали дату следующего преступления, которое и совершилось точно в срок. Убийца еще и ухитряется передать привет лично Ольге. Впрочем, подоплека всей этой игры ей ясна. Важнее ответить на вопрос – кто же она сама: содержанка полумафиозного чиновника или человек с честью и достоинством? Ответить надо быстро, ибо к виску Ольги приставлен пистолет и время уже пошло…",https://www.litmir.me/data/Book/0/34000/34768/BC4_1597276570.jpg
256,Простые волшебные вещи,Фрай Макс,Фэнтези,Лабиринты Ехо #3,9.53,19,Русский,,https://www.litmir.me/data/Book/0/32000/32849/BC4_1597384330.jpg
257,Статский советник,"Акунин Борис "" Чхартишвили Григорий Шалвович""",Исторические детективы,Приключения Эраста Фандорина #7,9.53,15,Русский,"1891 год. Брожение в умах, революционные идеи популярны среди молодежи, повсюду возникают революционные кружки. Но не для всех это только мода. Группа, называющая себя «Б. Г.», работает точно и дерзко. Убит сибирский генерал-губернатор, убийца – человек, предъявивший документы на имя Эраста Фандорина. Эраст Петрович принимает вызов и берется за расследование. Кто стоит за буквами «Б. Г.»? Что сделало их террористами? Ради чего они совершают свои кровавые преступления?",https://www.litmir.me/data/Book/0/1000/1044/BC4_1598411110.jpg
258,Динка прощается с детством (ил. Н. Воробьевой),Осеева Валентина Александровна,Детская проза Книги для подростков,Динка #2,9.53,76,Русский,,https://www.litmir.me/data/Book/0/209000/209134/BC4_1490690354.jpg
259,Наследие,Доэрти Кристи,"Зарубежные детективы Зарубежные любовные романы Книги для подростков Любовные романы Боевики, остросюжетная литература",Ночная школа #2,9.53,23,Русский,,https://www.litmir.me/data/Book/0/205000/205767/BC4_1490688838.jpg
260,Тень ветра,Сафон Карлос Руис,Современная зарубежная литература,Кладбище Забытых Книг #1,9.53,27,Русский,,https://www.litmir.me/data/Book/0/140000/140059/BC4_1596070931.jpg
261,Ничто не вечно,Шелдон Сидни,"Зарубежные детективы Зарубежные любовные романы Любовные романы Боевики, остросюжетная литература",,9.53,15,Русский,"Детективная мелодрама Сидни Шелдона о судьбе трех молодых женщин, после окончания медицинских колледжей поступивших на работу в одну из больниц Сан-Франциско.",https://www.litmir.me/data/Book/0/26000/26704/BC4_1490522559.jpg
262,Дочь клана,Хауэлл Морган,Фэнтези," <span style=""color:#f00;"">Мастера меча и магии #22 </span>",9.53,70,Русский,,https://www.litmir.me
263,Четвертая высота,Ильина Елена Яковлевна,Детская проза Классическая литература,,9.53,14,Русский,"Эта повесть о героине Великой Отечественной войны Гуле Королёвой, о её детстве, школьных годах, о том, как она побывала в Артеке, как снималась в фильмах, о её юности и трагической гибели на фронте. Книга, написанная Е. Я. Ильиной (1901—1964), впервые вышла в свет в 1946 году и с тех пор выдержала много изданий.",https://www.litmir.me/data/Book/0/31000/31137/BC4_1597464012.jpg
264,Путь Шамана. Шаг 2: Гамбит Картоса,Маханенко Василий Михайлович,Фэнтези,Мир Барлионы #2,9.53,20,Русский," Новейшие технологии позволили создать Барлиону — виртуальный мир развлечений, отдыха и общения. Правительство выступило гарантом легитимности игровых денег и их свободного обмена на реальные кредиты. Население почувствовало «халяву» и хлынуло в Барлиону. И кто-то, разумеется, додумался превратить Барлиону в место наказания преступников. Тело осужденного помещали в капсулу длительного содержания, а сознание отправлялось на рудники. И кому какое дело, что — на виртуальные. Во всяком случае, Дмитрию Махану от этого легче не стало. Восемь лет рудников, непопулярный класс Шаман и непрестижная в Барлионе специальность Ювелир. Шаману оставалось только одно — бороться за выживание. И отнюдь не виртуальное…",https://www.litmir.me/data/Book/0/177000/177518/BC4_1595463131.jpg
265,Валькирия,Семёнова Мария Васильевна,Историческое фэнтези Фэнтези,,9.53,21,Русский,,https://www.litmir.me/data/Book/0/187000/187583/BC4_1595170811.jpg
266,Возвращение к практике. Том 1,Измайлова Кира Алиевна,Фэнтези,Случай из практики #2 Колдовские миры,9.52,21,Русский,,https://www.litmir.me/data/Book/0/264000/264476/BC4_1593810011.jpg
267,Последняя жертва,Мид Райчел,Зарубежное фэнтези Зарубежные любовные романы Фэнтези Любовные романы Ужасы / мистика,Академия вампиров #6,9.52,26,Русский," В сообществе вампиров произошло событие небывалое – убита правительница мороев королева Татьяна. И так сложилось, что все улики указывают на то, что преступница – Роза Хэзевей, выпускница Академии вампиров, недавно получившая звание стража. Приговор страшен – Роза должна быть казнена. У девушки есть всего две недели, за которые ей необходимо получить доказательства своей невиновности и предъявить их королевскому двору. Дело осложняется тем, что, кроме заботы о спасении собственной жизни, Роза должна помочь своей подруге, принцессе Лиссе, занять опустевший трон, который принадлежит ей по праву.  Впервые на русском! Новая книга культового сериала об Академии вампиров!",https://www.litmir.me/data/Book/0/140000/140556/BC4_1596059000.jpg
268,Право сильнейшего. Книга 1 (СИ),Лисина Александра,Фэнтези,Без права на выбор #7,9.52,69,Русский,,https://www.litmir.me/data/Book/0/176000/176543/BC4_1490611458.jpg
269,Опергруппа в деревне,Белянин Андрей Олегович,Фэнтези Фантастика,Тайный сыск царя Гороха #6,9.52,12,Русский,,https://www.litmir.me/data/Book/0/218000/218005/BC4_1490695299.jpg
270,Некромант поневоле. Часть 1 (СИ),Лисина Александра,Фэнтези,Профессиональный некромант #3,9.52,74,Русский,,https://www.litmir.me/data/Book/0/193000/193047/BC4_1490630964.jpg
271,Дважды укушенный (ЛП),Нейл Хлоя,Любовно-фантастические романы,Чикагские вампиры #3,9.52,70,Русский,,https://www.litmir.me/data/Book/0/220000/220191/BC4_1490696561.jpg
272,Зумана (СИ),"Кочешкова Елена А. "" Golde""",Фэнтези,Шут #2,9.52,87,Русский,,https://www.litmir.me
273,Поймать ночь (ЛП),Кеньон Шеррилин,Любовно-фантастические романы,Темные охотники #11,9.52,63,Русский,,https://www.litmir.me/data/Book/0/147000/147930/BC4_1491154469.jpg
274,Игры с тенью,Демченко Антон,Фэнтези,Охотник из тени #2,9.52,73,Русский,,https://www.litmir.me/data/Book/0/168000/168333/BC4_1490603564.jpg
275,Миг бесконечности. Том 2,Батракова Наталья Николаевна,Любовные романы,Миг бесконечности #2,9.52,22,Русский,"…С чего начинается любовь? Как ее сохранить? Как простить любимому человеку то, что однажды едва не разрушило твою жизнь? Как простить это себе? Признать свою вину и извиниться — это победа или поражение? И что ждет в итоге — награда или полное забвение? Миг счастья, миг печали, миг мудрости, миг любви… Миг бесконечности. Для одних он — секунда, для других — вся оставшаяся жизнь…",https://www.litmir.me/data/Book/0/154000/154888/BC4_1490595239.jpg
276,Дневники падших душ (СИ),Фэй Кира,Фэнтези,Дневники... #2,9.52,59,Русский,,https://www.litmir.me
277,Гламур в шоколаде,Молчанова Ирина Алексеевна,Детская проза Любовные романы,Только для девчонок,9.52,7,Русский,"Представь: ты самая популярная девчонка в школе. Твое фото красуется на Доске почета, шмотки – предмет зависти всех девчонок, а мальчишки выстраиваются в очередь, чтобы потанцевать с тобой на дискотеке. Жизнь удалась! Но что, если однажды вдруг выяснится: на самом деле ты не нравишься ни-ко-му? Одноклассники считают тебя глупой, лучшая подруга смеется за спиной, а парень… тот самый, единственный, уже давно встречается с другой! Да, такие новости испортят жизнь кому угодно! Но только не настоящей королеве…",https://www.litmir.me/data/Book/0/90000/90622/BC4_1490554344.jpg
278,Миллионерша желает познакомиться,Полякова Татьяна Викторовна,Любовные романы Детективы,Авантюрный детектив,9.52,15,Русский,"Если бы провели чемпионат мира по невезению, то Маня Смородина заняла бы на нем далеко не последнее место. В один день у нее сломалась машина, украли паспорт и деньги, а вдобавок ее взяли заложницей при ограблении кафе. Грабители отпустили ее, но на этом злоключения Мани не кончились: теперь она натыкается на трупы то одноклассника, то сожителя своей мачехи, и, похоже, убийца все ближе подбирается к ней самой. Даже обаятельный Стас ничем не может помочь Мане. Впрочем, может: он предлагает ей руку и сердце. Но она уже не в силах понять, чем закончится эта симфония невезения – аккордами Шопена или Мендельсона…",https://www.litmir.me/data/Book/0/34000/34773/BC4_1597276270.jpg
279,Дары волхвов,О.Генри Уильям,Классическая проза,Внеклассное чтение,9.52,2,Русский,,https://www.litmir.me/data/Book/0/80000/80917/BC4_1490551781.jpg
280,Три мушкетёра,Дюма Александр,Исторические приключения,Библиотека приключений #19,9.52,167,Русский,,https://www.litmir.me/data/Book/0/166000/166631/BC4_1490601846.jpg
281,Неукротимая Анжелика,Голон Анн Голон Серж,Зарубежные любовные романы Исторические любовные романы Классика жанра,Анжелика #4,9.52,32,Русский," «Неукротимая Анжелика» – четвертая из серии книг, открывшейся знаменитым историко-авантюрным романом «Анжелика – маркиза ангелов», написанным Анн Голон. Анжелика, маркиза дю Плесси-Бельер, узнав, что ее первый муж – Жоффрей де Пейрак – жив, нарушает приказ короля и уезжает из Парижа на поиски любимого, которого в последний раз видели на острове Лангустье. Вместе с ней отправляется ученый Савари. Удастся ли капризной неукротимой красавице, преодолев тысячи препятствий, отыскать Жоффрея де Пейрака?.. Узнает ли она его? Сумеет ли проникнуть в тайну Рескатора, прославленного пирата, освободителя рабов и противника короля Франции?  Перед нами едва ли не самая удачная серия любовно-приключенческих романов со времен «Трех мушкетеров» А. Дюма. Недаром полвека спустя после нашумевшей экранизации «Анжелики» с Мишель Мерсье в главной роли французский кинематограф и режиссер Ариэль Зейтун с триумфом возвращаются к образу прелестной и своевольной героини Анн Голон.   ",https://www.litmir.me/data/Book/0/10000/10326/BC4_1490515035.jpg
282,Джокер,Дакар Даниэль,"Боевики, остросюжетная литература",Фабрика героев #2,9.52,18,Русский,"Меняются времена, меняются пространства. И тому, кто хочет не только выжить, но и выиграть, приходится меняться вместе с пространствами и временами, снова и снова приземляясь, как кошка, на четыре лапы. Да, трудно. Но выбора нет, как не было его никогда. С Бельтайна – в Российскую империю. Из рубки корвета – во дворцы. Вместо сертификата пилота – верительные грамоты посла. Минус погоны – плюс новое имя. Минус определенность – плюс неизвестность. Минус привычная жизнь – плюс… что? А ты по-прежнему полукровка. Своя ровно настолько, чтобы оставаться чужой. Впрочем, тебе не привыкать. И где бы ни происходила игра, кто бы ни играл и какова бы ни была ставка, в крапленой колоде Судьбы твоя карта – джокер…",https://www.litmir.me/data/Book/0/150000/150486/BC4_1595898431.jpg
283,Подарки к Зимнепразнику,Буджолд Лоис Макмастер,Космическая фантастика,Сага о Форкосиганах #13,9.52,24,Русский,,https://www.litmir.me
284,Ведьмино наследство,Кащеев Кирилл Волынская Илона,Детская фантастика Фэнтези,Ирка Хортица – суперведьма #4,9.52,10,Русский,"Легко ли обычной девчонке привыкнуть к тому, что она – ведьма? Ирка Хортица только начала использовать колдовские силы, как вдруг столкнулась с неожиданной проблемой – разозлившись, она перестает управлять своими способностями. На торжественной линейке первого сентября на глазах у всей школы она превратилась в огромную черную собаку! Нужно срочно научиться контролировать эту странную магию – ведь именно сейчас Хортице нужны и все ее способности, и помощь друзей. Потому что враги юной ведьмы нашли ее и решили познакомиться поближе...  <i>Ранее повесть «Ведьмино наследство» выходила под названием «Остров оборотней».</i> ",https://www.litmir.me/data/Book/0/149000/149787/BC4_1490593813.jpg
