id,name,site_buy,date,town,price,age,img_url,content,id_cultural
620,Африка: взгляд снаружи и изнутри,https://xposedart.timepad.ru/event/489226/,16 июня 2017,Москва,до 250,0+,https://www.2do2go.ru/uploads/8b5ae4eeba5ecbee1d332f7da46944b9_w500_h500.jpg,"Проект объединяет авторские взгляды двух фотографов на дикую жизнь в Бушвельде — поистине уникальном субтропическом лесном эко-регионе Южной Африки.  Свой взгляд на Африку «изнутри» показывает Риан Фурье (Riaan Fourie) — высококвалифицированный и опытный южноафриканский полевой гид и следопыт, который живет и работает в Бушвельде последние двадцать лет. Африку «снаружи» демонстрирует профессиональный российский фотограф Ольга Коновалова, которая путешествовала по этой удивительной земле в 2016 и 2017 гг. Кроме фотографий на выставке будут показаны короткие видеоролики о дикой жизни Бушвельда, выполненные в технике оживших фотографий. В программе: специальный День WWF, ценные подарки и розыгрыши от партнеров, аквагрим для детей на выходных и много других активностей и сюрпризов.",0
621,Выставка Africa. In-and-Out,https://xposedart.timepad.ru/event/489226/,16 июля 2017,Москва,до 250,0+,https://www.2do2go.ru/uploads/18488553a491fa53c522d1a6facc7ae9_w500_h500.jpeg,"<b>Africa. In-and-Out</b> — фотопроект галереи Exposed, подготовленный к Году экологии в России совместно с Фондом дикой природы WWF.   Проект объединяет авторские взгляды двух фотографов на дикую жизнь в Бушвельде — поистине уникальном субтропическом лесном эко-регионе Южной Африки. Свой взгляд на Африку изнутри показывает Риан Фурье (Riaan Fourie), высококвалифицированный и опытный южноафриканский полевой гид и следопыт, который живет и работает в Бушвельде последние двадцать лет. Африку снаружи демонстрирует профессиональный российский фотограф Ольга Коновалова, которая путешествовала по этой удивительной земле в 2016 и 2017 годах.  Кроме фотографий на выставке будут показаны видео-ролики о дикой жизни Бушвельда, выполненные в технике оживших фотографий — slide movie.  <b>В программе выставки:</b> специальный День WWF, ценные подарки от партнеров, аквагрим для детей на выходных и много других активностей и сюрпризов. Подробности — на  или в .",0
622,Viva Вивальди,0,8 июня 2017,Москва,2000,6+,https://www.2do2go.ru/uploads/1ca3641e2b3268f85d4fa0144d077d24_w500_h500.jpg,"Камерный оркестр Kremlin представляет заключительную программу камерной музыки. Гости вечера услышат знаменитые «Времена года» — четыре концерта для скрипки с оркестром и другие инструментальные концерты великого венецианца. <b>Гостей также ждет:</b> <b>Преимущества камерных концертов в арт-пространстве Exposed:</b> Подробная информация — , а также по тел.: +7 (495) 755-77-95.",0
623,Музыка воды,0,14 апреля 2017,Москва,0,0+,https://www.2do2go.ru/uploads/e51769d81e5b78938e7a4d3b59ffca3a_w500_h500.jpg,"По многочисленным просьбам посетителей Exposed и Smirnoff.gallery продлевают выставку «Екатерина Ворона. Музыка воды» до 14 апреля! Выставка в Москве стала продолжением единого крупного проекта, который стартовал прошлым летом в Санкт-Петербурге, в Русском музее, в Михайловском замке. Экспозиция представляет 30 живописных полотен и 5 скульптурных произведений, объединенных главной темой творчества художника — водной стихией, и одним из самых абстрактных видов искусства — музыкой. В рамках проекта издан специальный каталог, доступный в продаже в арт-центре Exposed.<br /> Завершением выставки, 14 апреля, станет концерт Камерного оркестра Kremlin «Гайдн. Семь последних слов Христа». Подробности — в группе .",0
624,Настина ярмарка,0,21 сентября 2014,Москва,0,12+,https://www.2do2go.ru/uploads/58be1756e07eca5b502ca0a498ebaf15_w500_h500.jpg,0,0
625,"Фестиваль греческой культуры, еды и танца",0,25 июня 2016,Москва,0,0+,https://www.2do2go.ru/uploads/f0e4429ea4b8c07c2569c5f8a1369581_w500_h500.jpg,0,0
626,Спектакль «Улицы»,0,29 мая 2016,Москва,150 — 300,12+,https://www.2do2go.ru/uploads/836e04ac6091e7b6d0f527039982d1e0_w500_h500.JPG,0,0
627,Выставка «Живые эмоции»,0,30 ноября 2015,Москва,0,0+,https://www.2do2go.ru/uploads/9b815cf19dc1c32f9adfb0900201e159_w500_h500.jpg,0,0
628,Фестиваль «Ночь PRO свет»,0,19 сентября 2015,Москва,0,16+,https://www.2do2go.ru/uploads/8eb12b69d0d1c3f8890cf8cd115d002c_w500_h500.jpg,0,0
629,"Фестиваль испанской культуры, еды и танца Fiesta",0,11 июля 2015,Москва,0,6+,https://www.2do2go.ru/uploads/2de704f801a70e31e6b8298e087ac350_w500_h500.jpg,0,0
